disease,symptom_or_condition
MLND,InsectVector
Rust,HighHumidity
Rust,ModerateHumidity
Blight,HighHumidity
DownyMildew,HighHumidity
DownyMildew,WetSoils
GrayLeafSpot,HighTemp
Smut,ContaminatedSeed
RootRot,PoorDrainage
RootRot,WetSoils
EarRot,HighHumidity
EarRot,MechanicalInjury
Wilt,Drought
LeafCurl,InsectVector
MosaicVirus,InsectVector
FusariumWilt,WetSoils
StalkRot,HighTemp
Anthracnose,HighHumidity
AspergillusRot,HighTemp
DiplodiaEarRot,HighHumidity
